ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,983.6,...,985.2,2013/6/1 08:09,981.3,2013/6/1 16:38,28.1,31.6,2013/6/1 14:55,24.8,2013/6/1 05:30,...,76,61,2013/6/1 14:56,1.5,236,8.3,250,2013/6/1 13:40,0,...,...,...,...,...,...,...,...,...,...,...,...,...
2,982.1,...,984.6,2013/6/2 21:37,979.7,2013/6/2 15:07,27.6,32.4,2013/6/2 15:30,22.9,2013/6/2 05:17,...,74,52,2013/6/2 11:37,1.4,234,9.8,234,2013/6/2 13:09,0,...,...,...,...,...,...,...,...,...,...,...,...,...
3,984.4,...,986.3,2013/6/3 22:55,982.4,2013/6/3 02:42,26.4,29.6,2013/6/3 11:34,24.7,2013/6/3 23:59,...,82,69,2013/6/3 11:33,1.5,6,8.3,2,2013/6/3 13:13,0,...,...,...,...,...,...,...,...,...,...,...,...,...
4,987.1,...,989,2013/6/4 21:35,985.5,2013/6/4 03:31,25.6,28.4,2013/6/4 12:59,23.8,2013/6/4 23:53,...,87,75,2013/6/4 13:01,0.8,1,7.1,2,2013/6/4 14:23,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
5,988.4,...,990,2013/6/5 10:51,987,2013/6/5 03:09,24.9,27.9,2013/6/5 14:04,23.2,2013/6/5 23:44,...,87,70,2013/6/5 14:04,0.5,20,5.2,351,2013/6/5 11:41,6.5,...,...,...,...,...,...,...,...,...,...,...,...,...
6,987.2,...,988.9,2013/6/6 09:17,985.5,2013/6/6 23:59,26.4,30.7,2013/6/6 10:24,21.8,2013/6/6 04:55,...,77,58,2013/6/6 10:56,0.5,46,5.1,336,2013/6/6 13:30,0,...,...,...,...,...,...,...,...,...,...,...,...,...
7,983.3,...,985.6,2013/6/7 07:03,981,2013/6/7 23:47,27.2,30.7,2013/6/7 14:13,23.9,2013/6/7 05:40,...,76,63,2013/6/7 14:20,1.4,223,7.5,222,2013/6/7 10:58,0,...,...,...,...,...,...,...,...,...,...,...,...,...
8,978.9,...,981.1,2013/6/8 00:03,976.7,2013/6/8 15:17,28.2,32.7,2013/6/8 14:11,23.5,2013/6/8 04:54,...,72,52,2013/6/8 10:52,1.9,233,11.5,224,2013/6/8 15:31,0,...,...,...,...,...,...,...,...,...,...,...,...,...
9,978.3,...,980.2,2013/6/9 21:39,976.9,2013/6/9 15:40,28.6,32.9,2013/6/9 14:06,25.3,2013/6/10 00:00,...,71,52,2013/6/9 13:45,2.3,236,12,237,2013/6/9 12:37,0,...,...,...,...,...,...,...,...,...,...,...,...,...
10,980,...,982,2013/6/10 22:59,978.6,2013/6/10 03:38,25.6,28.4,2013/6/10 08:29,22.9,2013/6/10 23:42,...,87,77,2013/6/10 16:00,0.9,2,5.8,4,2013/6/10 09:21,11,...,...,...,...,...,...,...,...,...,...,...,...,...
11,981.2,...,983.8,2013/6/11 22:13,979.6,2013/6/11 14:22,25.6,29.4,2013/6/11 13:29,22.8,2013/6/11 03:53,...,89,74,2013/6/11 14:19,0.6,51,7.9,215,2013/6/11 01:00,36.5,...,...,...,...,...,...,...,...,...,...,...,...,...
12,983,...,985,2013/6/12 22:31,981.5,2013/6/12 13:48,25.6,31,2013/6/12 12:23,23.9,2013/6/12 17:51,...,90,66,2013/6/12 12:43,0.9,15,6.4,20,2013/6/12 15:09,30,...,...,...,...,...,...,...,...,...,...,...,...,...
13,982.4,...,984.2,2013/6/14 00:00,980.7,2013/6/13 15:51,26.1,29.1,2013/6/13 14:00,23.8,2013/6/13 03:05,...,85,73,2013/6/13 12:30,0.6,27,5.2,16,2013/6/13 14:43,0,...,...,...,...,...,...,...,...,...,...,...,...,...
14,983.1,...,985,2013/6/14 21:07,981.1,2013/6/14 01:50,26.3,31.6,2013/6/14 12:03,24.7,2013/6/14 23:59,...,88,62,2013/6/14 13:51,0.5,2,5.3,224,2013/6/14 03:30,14.5,...,...,...,...,...,...,...,...,...,...,...,...,...
15,985.2,...,986.4,2013/6/15 09:14,983.6,2013/6/15 03:19,27.4,31.2,2013/6/15 11:04,23.5,2013/6/15 04:39,...,81,64,2013/6/15 16:38,1.4,54,7.5,16,2013/6/15 15:14,0,...,...,...,...,...,...,...,...,...,...,...,...,...
16,984.7,...,986.5,2013/6/16 06:58,983,2013/6/16 16:59,27.5,29.9,2013/6/16 15:15,25.3,2013/6/16 04:08,...,81,67,2013/6/16 16:29,0.6,230,4.2,1,2013/6/16 15:30,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
17,982.1,...,984.7,2013/6/18 00:00,979.9,2013/6/17 16:56,27.1,29.1,2013/6/17 14:39,24.8,2013/6/17 23:37,...,83,72,2013/6/17 15:14,0.6,220,4.1,236,2013/6/17 00:31,0,...,...,...,...,...,...,...,...,...,...,...,...,...
18,979.6,...,981.6,2013/6/18 07:52,977.7,2013/6/18 16:08,28,32.2,2013/6/18 12:04,23.8,2013/6/18 05:28,...,75,54,2013/6/18 12:03,0.8,234,7,245,2013/6/18 14:31,0,...,...,...,...,...,...,...,...,...,...,...,...,...
19,978.5,...,979.9,2013/6/19 07:43,977,2013/6/19 15:45,28,32.5,2013/6/19 13:34,24.5,2013/6/19 04:53,...,74,54,2013/6/19 13:15,0.7,221,6.1,351,2013/6/19 13:50,0,...,...,...,...,...,...,...,...,...,...,...,...,...
20,980.3,...,982.7,2013/6/20 22:20,978,2013/6/20 01:25,28,31.9,2013/6/20 13:32,25.3,2013/6/20 04:28,...,78,58,2013/6/20 13:32,1,229,5.8,236,2013/6/20 08:54,0,...,...,...,...,...,...,...,...,...,...,...,...,...
21,983.2,...,985.1,2013/6/21 23:08,981.8,2013/6/21 02:36,28,32.9,2013/6/21 10:34,25.8,2013/6/21 04:54,...,80,57,2013/6/21 11:07,0.7,22,7.1,5,2013/6/21 11:58,0,...,...,...,...,...,...,...,...,...,...,...,...,...
22,984.3,...,986.3,2013/6/22 22:44,982.6,2013/6/22 17:38,28,31.3,2013/6/22 11:09,25.3,2013/6/22 01:21,...,76,64,2013/6/22 11:22,1,20,6,348,2013/6/22 11:42,0,...,...,...,...,...,...,...,...,...,...,...,...,...
23,984.9,...,986.6,2013/6/23 22:44,983.4,2013/6/23 15:01,27.5,32.4,2013/6/23 11:38,24.6,2013/6/23 23:54,...,82,60,2013/6/23 11:39,0.7,227,6.9,238,2013/6/23 14:28,13.5,...,...,...,...,...,...,...,...,...,...,...,...,...
24,984.7,...,986.1,2013/6/25 00:00,982.7,2013/6/24 15:18,27.8,33.4,2013/6/24 12:22,24.2,2013/6/24 02:50,...,74,49,2013/6/24 11:57,1.9,234,14.9,244,2013/6/24 16:57,0,...,...,...,...,...,...,...,...,...,...,...,...,...
25,984,...,985.7,2013/6/25 11:06,982.2,2013/6/25 17:37,28.6,31.5,2013/6/25 15:17,25.1,2013/6/25 02:33,...,67,54,2013/6/25 16:28,2.3,235,14.5,230,2013/6/25 13:26,0,...,...,...,...,...,...,...,...,...,...,...,...,...
26,982.8,...,984.4,2013/6/26 10:36,981.3,2013/6/26 17:42,29.5,32,2013/6/26 11:20,27.6,2013/6/26 04:39,...,70,61,2013/6/26 10:52,3.1,235,12.9,238,2013/6/26 14:37,0,...,...,...,...,...,...,...,...,...,...,...,...,...
