ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	979	...	981	2017/6/1 07:08	976.7	2017/6/1 15:58	28	31.8	2017/6/1 12:55	24.8	2017/6/1 04:50	...	73	52	2017/6/1 13:23	3.8	229	16.2	203	2017/6/1 14:11	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	979.1	...	982.9	2017/6/2 22:17	976.2	2017/6/2 03:40	24.8	28.4	2017/6/2 09:02	22.7	2017/6/2 23:06	...	91	77	2017/6/2 00:03	3	228	16.8	246	2017/6/2 11:02	88.5	...	...	...	...	...	...	...	...	...	...	...	...	...
3	981.3	...	982.9	2017/6/3 09:13	980.1	2017/6/3 15:22	23.3	24.7	2017/6/3 10:04	22.7	2017/6/3 20:29	...	97	95	2017/6/3 12:11	0.6	13	6.4	106	2017/6/3 13:57	98	...	...	...	...	...	...	...	...	...	...	...	...	...
4	983.1	...	986	2017/6/4 22:17	980.8	2017/6/4 03:25	24.6	27.7	2017/6/4 10:36	22.8	2017/6/4 00:50	...	94	85	2017/6/4 10:32	0.6	235	5.8	206	2017/6/4 09:21	15.5	...	...	...	...	...	...	...	...	...	...	...	...	...
5	985.8	...	988	2017/6/5 23:21	984.4	2017/6/5 03:15	25.5	28.3	2017/6/5 12:21	23.7	2017/6/5 00:59	...	91	78	2017/6/5 12:35	0.4	14	5.2	212	2017/6/5 13:32	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
6	987.4	...	988.4	2017/6/6 21:21	986	2017/6/6 16:18	27.6	31.8	2017/6/6 11:50	24	2017/6/6 03:43	...	85	67	2017/6/6 10:31	1	234	6.8	211	2017/6/6 15:50	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	987.7	...	989.4	2017/6/7 22:03	986	2017/6/7 14:28	28.2	32.9	2017/6/7 12:45	24.1	2017/6/7 04:29	...	79	58	2017/6/7 14:59	1.1	240	6.8	242	2017/6/7 14:18	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	988.1	...	989.2	2017/6/8 21:59	986.5	2017/6/8 17:01	27.4	31.9	2017/6/8 09:53	24.1	2017/6/8 04:13	...	82	63	2017/6/8 09:52	0.6	339	6.4	12	2017/6/8 13:57	0	...	...	...	...	...	...	...	...	...	...	...	...	...
9	987.3	...	988.4	2017/6/10 00:00	986	2017/6/9 16:53	27.6	31.9	2017/6/9 10:45	24	2017/6/9 03:49	...	80	63	2017/6/9 10:08	1	223	5.5	203	2017/6/9 09:30	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	986.1	...	987.7	2017/6/10 00:01	984.7	2017/6/10 17:46	28.2	32.4	2017/6/10 12:37	23.9	2017/6/10 05:03	...	79	62	2017/6/10 11:28	1.4	226	8.4	228	2017/6/10 17:10	0	...	...	...	...	...	...	...	...	...	...	...	...	...
11	985.2	...	986.9	2017/6/11 22:30	983.9	2017/6/11 04:23	27.5	32.3	2017/6/11 11:34	23.9	2017/6/11 23:40	...	83	64	2017/6/11 07:25	0.9	205	6.4	236	2017/6/11 10:28	7	...	...	...	...	...	...	...	...	...	...	...	...	...
12	986	...	987.9	2017/6/12 23:15	984.2	2017/6/12 15:39	26.7	32.2	2017/6/12 11:53	23.5	2017/6/12 05:10	...	85	67	2017/6/12 11:52	0.8	59	8.5	110	2017/6/12 17:48	1	...	...	...	...	...	...	...	...	...	...	...	...	...
13	985.8	...	987.4	2017/6/13 00:18	984.2	2017/6/13 15:39	27.8	32.9	2017/6/13 13:31	23.8	2017/6/13 03:07	...	78	60	2017/6/13 10:21	1.4	79	9.3	205	2017/6/13 15:54	0	...	...	...	...	...	...	...	...	...	...	...	...	...
14	985	...	987.2	2017/6/14 22:10	982.2	2017/6/14 05:16	23.7	26.1	2017/6/14 00:15	21.7	2017/6/14 23:33	...	93	81	2017/6/14 06:04	1.7	229	12.8	211	2017/6/14 08:12	75	...	...	...	...	...	...	...	...	...	...	...	...	...
15	985.9	...	987	2017/6/15 09:42	984.5	2017/6/15 17:07	21.3	21.8	2017/6/15 16:26	20.9	2017/6/15 08:58	...	97	97	2017/6/15 04:57	1.2	43	6	21	2017/6/15 00:08	69.5	...	...	...	...	...	...	...	...	...	...	...	...	...
16	983	...	985.2	2017/6/17 00:00	981.3	2017/6/16 16:12	23.3	25.3	2017/6/16 20:53	21.3	2017/6/16 00:13	...	94	78	2017/6/16 20:52	1.2	226	11.6	229	2017/6/16 16:24	26.5	...	...	...	...	...	...	...	...	...	...	...	...	...
17	982.4	...	985.4	2017/6/17 21:50	980.3	2017/6/17 05:16	22.6	24.8	2017/6/17 12:33	20.9	2017/6/17 19:43	...	96	94	2017/6/17 12:44	1.1	4	8.4	99	2017/6/17 19:35	69	...	...	...	...	...	...	...	...	...	...	...	...	...
18	983.5	...	985.1	2017/6/18 22:26	982.1	2017/6/18 13:55	22.7	26	2017/6/18 13:13	21.3	2017/6/18 03:42	...	95	88	2017/6/18 13:17	0.7	69	8.6	219	2017/6/18 17:14	22.5	...	...	...	...	...	...	...	...	...	...	...	...	...
