ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,984.1,...,985.2,2008/6/1 22:18,982.9,2008/6/1 16:48,22,24.2,2008/6/1 11:13,19.6,2008/6/2 00:00,...,87,80,2008/6/1 11:15,0.6,21,3.3,232,2008/6/1 18:51,0.5,...,...,...,...,...,/,...,...,...,...,...,...,...
2,984.3,...,986.1,2008/6/2 22:41,983,2008/6/2 03:39,22.1,23.2,2008/6/2 09:42,21.4,2008/6/2 17:41,...,91,89,2008/6/2 10:23,1.1,3,6.4,6,2008/6/2 14:06,8.5,...,...,...,...,...,/,...,...,...,...,...,...,...
3,985.7,...,986.8,2008/6/3 22:27,984.2,2008/6/3 04:18,20.9,22,2008/6/3 09:32,19.2,2008/6/3 17:23,...,91,89,2008/6/3 18:13,1.4,54,5.8,90,2008/6/3 11:10,41.5,...,...,...,...,...,/,...,...,...,...,...,...,...
4,985.8,...,987,2008/6/4 10:54,984.6,2008/6/4 16:28,23.4,26.9,2008/6/4 14:31,20.2,2008/6/4 00:39,...,83,69,2008/6/4 14:32,0.8,1,6.5,172,2008/6/4 14:16,0,...,...,...,...,...,/,...,...,...,...,...,...,...
5,984.7,...,986.5,2008/6/5 09:45,982.7,2008/6/5 16:16,25.3,29.7,2008/6/5 15:43,20.8,2008/6/5 05:41,...,73,56,2008/6/5 14:35,1.5,207,7.4,40,2008/6/5 10:15,0,...,...,...,...,...,/,...,...,...,...,...,...,...
6,985.2,...,988.6,2008/6/6 22:31,982.5,2008/6/6 02:45,24.9,26.9,2008/6/6 10:16,23,2008/6/6 03:40,...,79,70,2008/6/6 14:23,1.7,238,8.9,242,2008/6/6 13:12,0,...,...,...,...,...,/,...,...,...,...,...,...,...
7,988,...,989.3,2008/6/7 21:44,987.1,2008/6/7 17:30,25.8,29.6,2008/6/7 09:52,23.5,2008/6/7 23:47,...,77,55,2008/6/7 13:46,1.1,16,36.8,194,2008/6/7 08:59,0,...,...,...,...,...,/,...,...,...,...,...,...,...
8,988,...,989.3,2008/6/8 22:13,986.3,2008/6/8 15:54,26.2,30,2008/6/8 10:53,22.5,2008/6/8 05:22,...,77,59,2008/6/8 10:59,1.3,236,36.3,199,2008/6/8 10:31,0,...,...,...,...,...,/,...,...,...,...,...,...,...
9,987.4,...,988.9,2008/6/9 06:52,985.9,2008/6/9 15:20,26.5,31,2008/6/9 11:38,22.9,2008/6/9 04:16,...,75,52,2008/6/9 11:16,1.4,212,35.5,176,2008/6/9 09:01,0,...,...,...,...,...,/,...,...,...,...,...,...,...
10,985.4,...,986.8,2008/6/10 07:16,983.3,2008/6/10 14:51,27.1,32.1,2008/6/10 11:21,22.8,2008/6/10 05:20,...,70,43,2008/6/10 11:01,1.9,207,39.7,143,2008/6/10 10:07,0,...,...,...,...,...,/,...,...,...,...,...,...,...
