ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	989.3	...	991.2	2018/5/1 08:27	987.9	2018/5/1 16:33	25.2	29.3	2018/5/1 13:28	22.6	2018/5/1 05:47	...	81	64	2018/5/1 11:34	1.2	239	6.1	242	2018/5/1 10:21	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	988.6	...	990.3	2018/5/2 23:08	987.1	2018/5/2 14:53	26.3	30.6	2018/5/2 12:02	22	2018/5/2 04:56	...	77	55	2018/5/2 10:21	1.6	228	9.1	245	2018/5/2 09:39	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	992.7	...	994.4	2018/5/3 10:51	989.5	2018/5/3 01:55	20.1	24.6	2018/5/4 00:00	18.1	2018/5/3 13:54	...	82	74	2018/5/3 23:55	3.4	45	13.1	25	2018/5/3 11:32	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	992.5	...	993.6	2018/5/4 09:55	991.5	2018/5/4 16:16	22	26.3	2018/5/4 12:20	18.1	2018/5/4 05:30	...	70	56	2018/5/4 10:42	1.9	56	8.1	53	2018/5/4 08:46	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	992.3	...	994	2018/5/5 09:04	990.7	2018/5/5 15:19	24.5	28.6	2018/5/5 14:02	21.2	2018/5/6 00:00	...	74	58	2018/5/5 19:12	0.5	237	4.9	47	2018/5/5 15:41	0	...	...	...	...	...	...	...	...	...	...	...	...	...
6	988.4	...	991.5	2018/5/7 00:00	986.1	2018/5/6 15:51	26.2	29.8	2018/5/6 10:23	21.7	2018/5/6 01:32	...	74	58	2018/5/6 10:02	1.1	236	6.4	230	2018/5/6 13:26	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	984.3	...	986.9	2018/5/8 00:00	982.1	2018/5/7 15:56	27.6	32.7	2018/5/7 13:17	23.8	2018/5/7 02:56	...	73	48	2018/5/7 13:18	1.6	237	12.1	225	2018/5/7 11:41	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	986.2	...	990.7	2018/5/8 23:46	982.7	2018/5/8 01:07	23.3	29.5	2018/5/8 12:14	19.5	2018/5/8 20:23	...	83	57	2018/5/8 12:14	2	224	7.9	239	2018/5/8 01:48	25	...	...	...	...	...	...	...	...	...	...	...	...	...
9	992.1	...	994.5	2018/5/9 22:02	989.4	2018/5/9 02:36	20.1	21.5	2018/5/9 09:44	18.9	2018/5/9 23:55	...	81	72	2018/5/9 17:25	3.1	49	11.4	52	2018/5/9 09:09	7.5	...	...	...	...	...	...	...	...	...	...	...	...	...
10	992.6	...	994.6	2018/5/10 08:36	990.5	2018/5/10 16:55	21.1	24.3	2018/5/10 14:01	17.2	2018/5/10 05:00	...	69	56	2018/5/10 13:30	3.3	38	14	30	2018/5/10 11:59	0	...	...	...	...	...	...	...	...	...	...	...	...	...
